record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,A*,,,,,,,,,,10,15,,0,13,8,4
CELL,A*,,,0,0,,,,,,,,.,,,,
CELL,A*,,,0,1,,,,,,,,X,,,,
CELL,A*,,,0,2,,,,,,,,.,,,,
CELL,A*,,,0,3,,,,,,,,X,,,,
CELL,A*,,,0,4,,,,,,,,X,,,,
CELL,A*,,,0,5,,,,,,,,.,,,,
CELL,A*,,,0,6,,,,,,,,.,,,,
CELL,A*,,,0,7,,,,,,,,.,,,,
CELL,A*,,,0,8,,,,,,,,.,,,,
CELL,A*,,,0,9,,,,,,,,.,,,,
CELL,A*,,,0,10,,,,,,,,.,,,,
CELL,A*,,,0,11,,,,,,,,X,,,,
CELL,A*,,,0,12,,,,,,,,.,,,,
CELL,A*,,,0,13,,,,,,,,A,,,,
CELL,A*,,,0,14,,,,,,,,.,,,,
CELL,A*,,,1,0,,,,,,,,.,,,,
CELL,A*,,,1,1,,,,,,,,.,,,,
CELL,A*,,,1,2,,,,,,,,X,,,,
CELL,A*,,,1,3,,,,,,,,.,,,,
CELL,A*,,,1,4,,,,,,,,.,,,,
CELL,A*,,,1,5,,,,,,,,.,,,,
CELL,A*,,,1,6,,,,,,,,.,,,,
CELL,A*,,,1,7,,,,,,,,.,,,,
CELL,A*,,,1,8,,,,,,,,.,,,,
CELL,A*,,,1,9,,,,,,,,X,,,,
CELL,A*,,,1,10,,,,,,,,.,,,,
CELL,A*,,,1,11,,,,,,,,.,,,,
CELL,A*,,,1,12,,,,,,,,.,,,,
CELL,A*,,,1,13,,,,,,,,.,,,,
CELL,A*,,,1,14,,,,,,,,.,,,,
CELL,A*,,,2,0,,,,,,,,.,,,,
CELL,A*,,,2,1,,,,,,,,.,,,,
CELL,A*,,,2,2,,,,,,,,.,,,,
CELL,A*,,,2,3,,,,,,,,X,,,,
CELL,A*,,,2,4,,,,,,,,X,,,,
CELL,A*,,,2,5,,,,,,,,X,,,,
CELL,A*,,,2,6,,,,,,,,.,,,,
CELL,A*,,,2,7,,,,,,,,X,,,,
CELL,A*,,,2,8,,,,,,,,.,,,,
CELL,A*,,,2,9,,,,,,,,.,,,,
CELL,A*,,,2,10,,,,,,,,.,,,,
CELL,A*,,,2,11,,,,,,,,.,,,,
CELL,A*,,,2,12,,,,,,,,X,,,,
CELL,A*,,,2,13,,,,,,,,X,,,,
CELL,A*,,,2,14,,,,,,,,X,,,,
CELL,A*,,,3,0,,,,,,,,X,,,,
CELL,A*,,,3,1,,,,,,,,.,,,,
CELL,A*,,,3,2,,,,,,,,.,,,,
CELL,A*,,,3,3,,,,,,,,.,,,,
CELL,A*,,,3,4,,,,,,,,.,,,,
CELL,A*,,,3,5,,,,,,,,X,,,,
CELL,A*,,,3,6,,,,,,,,.,,,,
CELL,A*,,,3,7,,,,,,,,.,,,,
CELL,A*,,,3,8,,,,,,,,X,,,,
CELL,A*,,,3,9,,,,,,,,X,,,,
CELL,A*,,,3,10,,,,,,,,.,,,,
CELL,A*,,,3,11,,,,,,,,.,,,,
CELL,A*,,,3,12,,,,,,,,.,,,,
CELL,A*,,,3,13,,,,,,,,X,,,,
CELL,A*,,,3,14,,,,,,,,X,,,,
CELL,A*,,,4,0,,,,,,,,.,,,,
CELL,A*,,,4,1,,,,,,,,X,,,,
CELL,A*,,,4,2,,,,,,,,X,,,,
CELL,A*,,,4,3,,,,,,,,.,,,,
CELL,A*,,,4,4,,,,,,,,.,,,,
CELL,A*,,,4,5,,,,,,,,.,,,,
CELL,A*,,,4,6,,,,,,,,.,,,,
CELL,A*,,,4,7,,,,,,,,.,,,,
CELL,A*,,,4,8,,,,,,,,X,,,,
CELL,A*,,,4,9,,,,,,,,.,,,,
CELL,A*,,,4,10,,,,,,,,.,,,,
CELL,A*,,,4,11,,,,,,,,X,,,,
CELL,A*,,,4,12,,,,,,,,.,,,,
CELL,A*,,,4,13,,,,,,,,.,,,,
CELL,A*,,,4,14,,,,,,,,.,,,,
CELL,A*,,,5,0,,,,,,,,.,,,,
CELL,A*,,,5,1,,,,,,,,.,,,,
CELL,A*,,,5,2,,,,,,,,X,,,,
CELL,A*,,,5,3,,,,,,,,.,,,,
CELL,A*,,,5,4,,,,,,,,.,,,,
CELL,A*,,,5,5,,,,,,,,X,,,,
CELL,A*,,,5,6,,,,,,,,.,,,,
CELL,A*,,,5,7,,,,,,,,X,,,,
CELL,A*,,,5,8,,,,,,,,.,,,,
CELL,A*,,,5,9,,,,,,,,X,,,,
CELL,A*,,,5,10,,,,,,,,.,,,,
CELL,A*,,,5,11,,,,,,,,.,,,,
CELL,A*,,,5,12,,,,,,,,.,,,,
CELL,A*,,,5,13,,,,,,,,.,,,,
