record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
CELL,A*,,,5,14,,,,,,,,.,,,,
CELL,A*,,,6,0,,,,,,,,X,,,,
CELL,A*,,,6,1,,,,,,,,.,,,,
CELL,A*,,,6,2,,,,,,,,.,,,,
CELL,A*,,,6,3,,,,,,,,.,,,,
CELL,A*,,,6,4,,,,,,,,.,,,,
CELL,A*,,,6,5,,,,,,,,.,,,,
CELL,A*,,,6,6,,,,,,,,.,,,,
CELL,A*,,,6,7,,,,,,,,.,,,,
CELL,A*,,,6,8,,,,,,,,.,,,,
CELL,A*,,,6,9,,,,,,,,.,,,,
CELL,A*,,,6,10,,,,,,,,.,,,,
CELL,A*,,,6,11,,,,,,,,.,,,,
CELL,A*,,,6,12,,,,,,,,X,,,,
CELL,A*,,,6,13,,,,,,,,.,,,,
CELL,A*,,,6,14,,,,,,,,X,,,,
CELL,A*,,,7,0,,,,,,,,.,,,,
CELL,A*,,,7,1,,,,,,,,X,,,,
CELL,A*,,,7,2,,,,,,,,X,,,,
CELL,A*,,,7,3,,,,,,,,.,,,,
CELL,A*,,,7,4,,,,,,,,.,,,,
CELL,A*,,,7,5,,,,,,,,X,,,,
CELL,A*,,,7,6,,,,,,,,.,,,,
CELL,A*,,,7,7,,,,,,,,.,,,,
CELL,A*,,,7,8,,,,,,,,X,,,,
CELL,A*,,,7,9,,,,,,,,.,,,,
CELL,A*,,,7,10,,,,,,,,.,,,,
CELL,A*,,,7,11,,,,,,,,X,,,,
CELL,A*,,,7,12,,,,,,,,.,,,,
CELL,A*,,,7,13,,,,,,,,.,,,,
CELL,A*,,,7,14,,,,,,,,.,,,,
CELL,A*,,,8,0,,,,,,,,.,,,,
CELL,A*,,,8,1,,,,,,,,.,,,,
CELL,A*,,,8,2,,,,,,,,.,,,,
CELL,A*,,,8,3,,,,,,,,X,,,,
CELL,A*,,,8,4,,,,,,,,B,,,,
CELL,A*,,,8,5,,,,,,,,X,,,,
CELL,A*,,,8,6,,,,,,,,.,,,,
CELL,A*,,,8,7,,,,,,,,.,,,,
CELL,A*,,,8,8,,,,,,,,X,,,,
CELL,A*,,,8,9,,,,,,,,.,,,,
CELL,A*,,,8,10,,,,,,,,.,,,,
CELL,A*,,,8,11,,,,,,,,.,,,,
CELL,A*,,,8,12,,,,,,,,.,,,,
CELL,A*,,,8,13,,,,,,,,.,,,,
CELL,A*,,,8,14,,,,,,,,.,,,,
CELL,A*,,,9,0,,,,,,,,X,,,,
CELL,A*,,,9,1,,,,,,,,.,,,,
CELL,A*,,,9,2,,,,,,,,.,,,,
CELL,A*,,,9,3,,,,,,,,.,,,,
CELL,A*,,,9,4,,,,,,,,.,,,,
CELL,A*,,,9,5,,,,,,,,X,,,,
CELL,A*,,,9,6,,,,,,,,X,,,,
CELL,A*,,,9,7,,,,,,,,X,,,,
CELL,A*,,,9,8,,,,,,,,.,,,,
CELL,A*,,,9,9,,,,,,,,X,,,,
CELL,A*,,,9,10,,,,,,,,X,,,,
CELL,A*,,,9,11,,,,,,,,.,,,,
CELL,A*,,,9,12,,,,,,,,.,,,,
CELL,A*,,,9,13,,,,,,,,.,,,,
CELL,A*,,,9,14,,,,,,,,.,,,,
EVENT,A*,0,DISCOVER,0,13,,,0,17,1,,,,,,,
EVENT,A*,1,EXPAND,0,13,,,0,17,0,,,,,,,
EVENT,A*,2,DISCOVER,0,14,0,13,1,19,1,,,,,,,
EVENT,A*,3,DISCOVER,1,13,0,13,1,17,2,,,,,,,
EVENT,A*,4,DISCOVER,0,12,0,13,1,17,3,,,,,,,
EVENT,A*,5,EXPAND,0,12,0,13,1,17,2,,,,,,,
EVENT,A*,6,DISCOVER,1,12,0,12,2,17,3,,,,,,,
EVENT,A*,7,EXPAND,1,12,0,12,2,17,2,,,,,,,
EVENT,A*,8,DISCOVER,1,11,1,12,3,17,3,,,,,,,
EVENT,A*,9,EXPAND,1,11,1,12,3,17,2,,,,,,,
EVENT,A*,10,DISCOVER,2,11,1,11,4,17,3,,,,,,,
EVENT,A*,11,DISCOVER,1,10,1,11,4,17,4,,,,,,,
EVENT,A*,12,EXPAND,1,10,1,11,4,17,3,,,,,,,
EVENT,A*,13,DISCOVER,2,10,1,10,5,17,4,,,,,,,
EVENT,A*,14,DISCOVER,0,10,1,10,5,19,5,,,,,,,
EVENT,A*,15,EXPAND,1,13,0,13,1,17,4,,,,,,,
EVENT,A*,16,DISCOVER,1,14,1,13,2,19,5,,,,,,,
EVENT,A*,17,EXPAND,2,10,1,10,5,17,4,,,,,,,
EVENT,A*,18,DISCOVER,3,10,2,10,6,17,5,,,,,,,
EVENT,A*,19,DISCOVER,2,9,2,10,6,17,6,,,,,,,
EVENT,A*,20,EXPAND,2,9,2,10,6,17,5,,,,,,,
EVENT,A*,21,DISCOVER,2,8,2,9,7,17,6,,,,,,,
EVENT,A*,22,EXPAND,2,8,2,9,7,17,5,,,,,,,
EVENT,A*,23,DISCOVER,1,8,2,8,8,19,6,,,,,,,
EVENT,A*,24,EXPAND,2,11,1,11,4,17,5,,,,,,,
EVENT,A*,25,DISCOVER,3,11,2,11,5,17,6,,,,,,,
EVENT,A*,26,EXPAND,3,10,2,10,6,17,5,,,,,,,
EVENT,A*,27,DISCOVER,4,10,3,10,7,17,6,,,,,,,
EVENT,A*,28,EXPAND,3,11,2,11,5,17,5,,,,,,,
EVENT,A*,29,DISCOVER,3,12,3,11,6,19,6,,,,,,,
EVENT,A*,30,EXPAND,4,10,3,10,7,17,5,,,,,,,
EVENT,A*,31,DISCOVER,5,10,4,10,8,17,6,,,,,,,
EVENT,A*,32,DISCOVER,4,9,4,10,8,17,7,,,,,,,
EVENT,A*,33,EXPAND,4,9,4,10,8,17,6,,,,,,,
EVENT,A*,34,EXPAND,5,10,4,10,8,17,5,,,,,,,
EVENT,A*,35,DISCOVER,5,11,5,10,9,19,6,,,,,,,
EVENT,A*,36,DISCOVER,6,10,5,10,9,17,7,,,,,,,
EVENT,A*,37,EXPAND,6,10,5,10,9,17,6,,,,,,,
EVENT,A*,38,DISCOVER,6,11,6,10,10,19,7,,,,,,,
EVENT,A*,39,DISCOVER,7,10,6,10,10,17,8,,,,,,,
EVENT,A*,40,DISCOVER,6,9,6,10,10,17,9,,,,,,,
EVENT,A*,41,EXPAND,6,9,6,10,10,17,8,,,,,,,
EVENT,A*,42,DISCOVER,7,9,6,9,11,17,9,,,,,,,
EVENT,A*,43,DISCOVER,6,8,6,9,11,17,10,,,,,,,
EVENT,A*,44,EXPAND,6,8,6,9,11,17,9,,,,,,,
EVENT,A*,45,DISCOVER,6,7,6,8,12,17,10,,,,,,,
EVENT,A*,46,DISCOVER,5,8,6,8,12,19,11,,,,,,,
EVENT,A*,47,EXPAND,6,7,6,8,12,17,10,,,,,,,
EVENT,A*,48,DISCOVER,7,7,6,7,13,17,11,,,,,,,
EVENT,A*,49,DISCOVER,6,6,6,7,13,17,12,,,,,,,
EVENT,A*,50,EXPAND,6,6,6,7,13,17,11,,,,,,,
EVENT,A*,51,DISCOVER,7,6,6,6,14,17,12,,,,,,,
EVENT,A*,52,DISCOVER,6,5,6,6,14,17,13,,,,,,,
EVENT,A*,53,DISCOVER,5,6,6,6,14,19,14,,,,,,,
EVENT,A*,54,EXPAND,6,5,6,6,14,17,13,,,,,,,
EVENT,A*,55,DISCOVER,6,4,6,5,15,17,14,,,,,,,
EVENT,A*,56,EXPAND,6,4,6,5,15,17,13,,,,,,,
EVENT,A*,57,DISCOVER,7,4,6,4,16,17,14,,,,,,,
EVENT,A*,58,DISCOVER,6,3,6,4,16,19,15,,,,,,,
EVENT,A*,59,DISCOVER,5,4,6,4,16,19,16,,,,,,,
EVENT,A*,60,EXPAND,7,4,6,4,16,17,15,,,,,,,
EVENT,A*,61,DISCOVER,8,4,7,4,17,17,16,,,,,,,
EVENT,A*,62,DISCOVER,7,3,7,4,17,19,17,,,,,,,
EVENT,A*,63,EXPAND,7,6,6,6,14,17,16,,,,,,,
EVENT,A*,64,DISCOVER,8,6,7,6,15,17,17,,,,,,,
EVENT,A*,65,EXPAND,7,7,6,7,13,17,16,,,,,,,
EVENT,A*,66,DISCOVER,8,7,7,7,14,17,17,,,,,,,
EVENT,A*,67,EXPAND,7,9,6,9,11,17,16,,,,,,,
EVENT,A*,68,DISCOVER,8,9,7,9,12,17,17,,,,,,,
EVENT,A*,69,EXPAND,7,10,6,10,10,17,16,,,,,,,
EVENT,A*,70,DISCOVER,8,10,7,10,11,17,17,,,,,,,
EVENT,A*,71,EXPAND,8,4,7,4,17,17,16,,,,,,,
PATH,A*,0,,0,13,,,,,,,,,,,,
PATH,A*,1,,0,12,,,,,,,,,,,,
PATH,A*,2,,1,12,,,,,,,,,,,,
PATH,A*,3,,1,11,,,,,,,,,,,,
PATH,A*,4,,1,10,,,,,,,,,,,,
PATH,A*,5,,2,10,,,,,,,,,,,,
PATH,A*,6,,3,10,,,,,,,,,,,,
PATH,A*,7,,4,10,,,,,,,,,,,,
PATH,A*,8,,5,10,,,,,,,,,,,,
PATH,A*,9,,6,10,,,,,,,,,,,,
PATH,A*,10,,6,9,,,,,,,,,,,,
PATH,A*,11,,6,8,,,,,,,,,,,,
PATH,A*,12,,6,7,,,,,,,,,,,,
PATH,A*,13,,6,6,,,,,,,,,,,,
PATH,A*,14,,6,5,,,,,,,,,,,,
PATH,A*,15,,6,4,,,,,,,,,,,,
PATH,A*,16,,7,4,,,,,,,,,,,,
PATH,A*,17,,8,4,,,,,,,,,,,,
